,detection_scores,class,x min,y min,x max,y max 
0,0.99521065,Sicherung,169,265,219,313
1,0.9862303,Schleifscheibe,309,109,386,200
2,0.9516216,Schleifscheibe,92,107,167,225
3,0.8987172,Lampe,205,54,322,101
4,0.6205242,Schalter,259,194,298,214
5,0.57768327,Motor,187,133,341,176
