Wall time,Step,Value
1714822749.740183,100,0.8866676092147827
1714822791.214586,200,0.4982503652572632
1714822833.031423,300,0.44548511505126953
1714822874.985931,400,0.4435659348964691
1714822916.731517,500,0.39211657643318176
1714822958.68903,600,0.3910813331604004
1714823000.256867,700,0.2817419171333313
1714823041.969995,800,0.25200340151786804
1714823083.603346,900,0.3047196567058563
1714823125.3512,1000,0.2228766530752182
1714823169.569612,1100,0.2635183334350586
1714823211.350999,1200,0.2619296610355377
1714823252.931307,1300,0.2394290566444397
1714823294.521211,1400,0.3067283034324646
1714823336.288948,1500,0.24556636810302734
1714823377.745359,1600,0.21656258404254913
1714823419.322418,1700,0.29575157165527344
1714823460.863325,1800,0.21212086081504822
1714823502.897817,1900,0.27906936407089233
1714823544.527428,2000,0.25168460607528687
1714823588.272756,2100,0.1915798783302307
1714823629.891331,2200,0.24237941205501556
1714823671.711,2300,0.2214171439409256
1714823713.625149,2400,0.21976423263549805
1714823755.19019,2500,0.22588281333446503
1714823796.901194,2600,0.2659422755241394
1714823838.369068,2700,0.2325652837753296
1714823880.147748,2800,0.2355666160583496
1714823921.93299,2900,0.24470269680023193
1714823963.887203,3000,0.20815038681030273
1714824008.416555,3100,0.23775629699230194
1714824050.323134,3200,0.2391570806503296
1715334059.457936,3100,0.21266359090805054
1715334101.007316,3200,0.1823110729455948
1715336436.339027,3100,0.199126735329628
1715336478.585121,3200,0.19345596432685852
1715336844.252957,3100,0.22425147891044617
1715336886.315338,3200,0.2284974306821823
1715336928.155762,3300,0.24802744388580322
1715336969.822195,3400,0.20785106718540192
1715337012.490944,3500,0.32356297969818115
1715337055.210841,3600,0.21742850542068481
1715337097.5922,3700,0.2322426736354828
1715337140.873355,3800,0.24371938407421112
1715337183.323823,3900,0.21235297620296478
1715337225.716677,4000,0.22901348769664764
1715337270.95745,4100,0.1863016039133072
1715337313.464917,4200,0.1779169887304306
1715337355.830115,4300,0.1766960769891739
1715337398.863776,4400,0.22221307456493378
1715337441.56657,4500,0.24275553226470947
1715337484.148498,4600,0.24110768735408783
1715337526.480837,4700,0.22252465784549713
1715337569.092497,4800,0.20976455509662628
1715337611.647099,4900,0.2479488104581833
1715337654.344144,5000,0.28479304909706116
1715337699.428092,5100,0.23768320679664612
1715337742.00798,5200,0.17829984426498413
1715337784.673022,5300,0.23185205459594727
1715337827.914935,5400,0.2317531406879425
1715337870.556543,5500,0.24439182877540588
1715337913.499405,5600,0.1561395823955536
1715337956.424435,5700,0.17116668820381165
1715337999.031236,5800,0.24250316619873047
1715338041.966325,5900,0.24085937440395355
1715338084.773691,6000,0.21565409004688263
1715338129.77289,6100,0.2584916055202484
1715338172.335674,6200,0.24017351865768433
1715338215.009025,6300,0.2377975434064865
